"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Quality Manager( Washing Plant)","Garments Textile","Aman Knittings Limited","Not specific","Lead and develop an effective team of Wet QA, Dry QA, and technical staff who are responsible for all quality-related assignments/issues. 
Develop and improve existing QI systems to meet international standards and ensure production outputs are in line with company specifications. 
Deliver the right product to finishing as per customer and company requirements.
Control and ensure the quality of Dry & Wet and Sample as per customers' precondition. 
Identify quality issues and analyze complex problems; recommend and implement preventive and/or corrective actions. 
Wash pp meeting need to conduct before bulk production and keep record. 
1st bulk review must need to do with wash technical and quality responsible. 
Make sure ok garments receiving from the sewing unit (measurement and visual). 
Check daily reports and analyze and feedback for corrective and predictive action. 
Supervise subcontract related garments production and quality. 
Ensures that safety, quality and maintain compliance issues are taken as part of the job. 
Monitor and support the quality issues and communicate with audit and pre-inspection team.","Lead and develop an effective team of Wet QA, Dry QA, and technical staff who are responsible for all quality-related assignments/issues.","Full-time","Bachelor of Science (BSc)","Age at least 35 years","Dhaka (Savar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Fabric Quality Controller","Garments Textile","Dressmen","01","Job Location: Chandra, Kaliakoir, Gazipur District","Ensuring fabric inspection done properly following with 4-point system in-house and local textile mill.","Full-time","Bachelor of Science (BSc) in Textile Engineering","Age at least 30 years","Gazipur","NegotiableNegotiable as per qualification and experience.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Management Trainee - Industrial Engineering & Planning","Garments Textile","A Reputed Knit Composite RMG Industry","20","To implant a fresh and enthusiastic outlook into the work environment of the organization initiated the management Trainee program.To facilitate a future pool of business leaders, we identify talents most suited to the program from prominent institution across the country.","To implant a fresh and enthusiastic outlook into the work environment of the organization initiated the management Trainee program.","Full-time","Graduate or Master's degree in any discipline from any reputed public & private university","Age at most 30 years","Gazipur","As per company policy""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Finishing Manager","Garments Textile","Unicorn Sweaters Ltd. (Sterling Group)","01","We are looking for a dynamic and experienced Assistant Manager for Production department of Sweater for Immediate Appointment.","Monitor Daily Production.","Full-time","HSC","Age 30 to 35 years","Dhaka (Ashulia, Savar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"GPQ (Quality Assurance)","Garments Textile","Unicorn Sweaters Ltd. (Sterling Group)","03","We are looking for a dynamic and experienced GPQ for Quality department of Sweater for Immediate Appointment.","Co-operation with buying House/Buyer QA for inline audits;","Full-time","Bachelor degree in any discipline","Age 25 to 35 years","Dhaka (Ashulia, Savar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Development Merchandiser (Denim)","Garments Textile","Meghna Denims Limited","01","We are looking for several dynamic and experienced candidates for the Product Development team. A friendly and personable demeanor, with a strong work ethic and desire to learn and grow with the company. Join a team that values and encourages your innovative thinking, allowing you to shape cutting-edge designs that push the boundaries of fashion.","Responsible to producing detailed tech packs and following the complete development of the product from initial drawings to final sample, liaising with technical & sampling team to follow progress according to established timelines.","Full-time","Master of Science (MSc)","Age 25 to 35 years","Gazipur","NegotiableAs per Company Policy.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Merchandiser (Woven Bottom)","Garments Textile","Brothers Fashion Ltd. (A Concern of TEAM Group)","Not specific","Negotiate and ensure competitive price quotation for order confirmation.Ensure orders from customer or buying house and follow up production process.Coordinate with buying house merchandiser or QC team for production process follow up to ensure on time shipment of quality product.Coordinate with Commercial team for documents follow up to ensure on time shipment.Coordinate with Accessories and Fabric department to ensure on time availability for smooth production.  Maintain regular communication with Customer, buying house, Wash factory, Print or Embroidery factory, Accessories and Fabric supplier to ensure smooth production process and identify any process lag.Develop sample upon customer requirement.Maintain and monitor T&A chart to identify process delay and ensure on time information update in portal.Improve team members’ working knowledge, standard, efficiency and performance by assisting them.Any other task as assigned by the appropriate authority.","Negotiate and ensure competitive price quotation for order confirmation.","Full-time","Bachelor of Science (BSc) in Textile Technology","Age at least 28 years","Gazipur","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Quality Manager","Garments Textile","Unicorn Sweaters Ltd. (Sterling Group)","01","We are looking for a dynamic and experienced Assistant Manager for Quality department of Sweater for Immediate Appointment.","Sound technical knowledge in sweater Manufacturing factory.","Full-time","Bachelor degree in any discipline","Age 30 to 35 years","Dhaka (Ashulia, Savar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager, Mechanical/ Machine Maintenance (Garments Division)","Garments Textile","Barnali Textile & Printing Industries (Pvt.) Ltd.","01","100% honest in all aspects.Responsible machine layout set up as per production requirement.Responsible to the proper preventive maintenance of all machines to avoid breakdown of maintenance.To ensure that all safety measures are taken to ensure the safe operations of the machines and people working in the machines are safe.Responsible to monitor all electrical connection and load distribution is under sharp periodical observation and to take immediate initiatives if there is any possibility of risk.Keep proper register of the maintenance work under the head of each machine.Ensure that spares are considered to take special care and keep up-to-date information of replacing spares.Responsible that factory is not storing spares excessively and also ensure the correct estimate of spares requirement.Ensure the cleanliness of every machine's around, inside and outside.Make the monthly, quarterly, half-yearly and yearly maintenance schedule and confirm their execution.Sound knowledge on compliance issues and responsible to electrical & mechanical installation according to compliance requirement.","100% honest in all aspects.","Full-time","Diploma in Mechanical/Technical Education in Machine Maintenance.","Age 30 to 40 years","Narayanganj","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Executive / Executive, Dyeing -Fabric","Garments Textile","South East Textile (Pvt.) Ltd. (Interstoff Group)","Not specific","You will be responsible for timely attend to office on scheduled time.Give instruction about production and quality.Prepare Dyeing plan.Machine management and make employee aware about personal safety.Prepare Dyeing process.Problem find out and solving.Achieving production target by on time production.Give parameter for fabric finish.Responsible for skill development of employee.Instruction establish on floor about production and quality.Dyeing plan establish.Floor monitoring and controlling.Assist to machine maintenance with TSD dept.Recipe checking and Dyeing process establish.Assist Senior to Achieving production target.Time to Time Report to Immediate to Boss.Maintain computerized and necessary documented information for all transformation.Maintain proper label confidentiality appropriate business practice in dealing with and for the company and its    management.These are the key duties and responsibilities for the post and they are subject to regular review. Any significant changes to the rule will be subject to consultation.Any other relates job(s) as assign by the management time to time.","You will be responsible for timely attend to office on scheduled time.","Full-time","Bachelor of Science (BSc)","Age 25 to 30 years","Tangail (Mirzapur)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
