"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Zonal In-Charge (Officer)","Security Support Service","Securex Pvt. Ltd.","03","Full time and permanent job","Guard Sourcing and monitoring of zone","Full-time","HSC","Age 30 to 45 years","Dhaka","Tk. 18000 - 22000 (Monthly)Conveyance up to Tk. 8000 for post and client visits.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Officer (Logistic)","Security Support Service","Nagar Holdings Limited","02","Security  sourcing  and maintenance 
Ensure strong base of securities monitoring  in all available projects. 
Must have ability to motivate employee (Project Staff) and maintain good relation between management. 
Must have experience in security management. 
Provide all kind of logistic support for all available projects 
To ensure logistic support to all projects' utility connections. (WASA, DESCO, DESA & TITAS) 
Conduct training on the physical security for security persons & new employees.","Security  sourcing  and maintenance","Full-time","Bachelor degree in any discipline","Age 28 to 38 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"House Keeping Supervisor","Security Support Service","International Classic Composite Ltd. (ICCL)","1","Our company is searching for experienced candidates for the position of housekeeping supervisor. We appreciate you taking the time to review the list of qualifications and to apply for the position. If you don`t fill all of the qualifications, you may still be considered depending on your level of experience.","Scheduling staff shifts and organizing replacements as required.","Full-time","HSC","Age 30 to 40 years","Gazipur (Gazipur Sadar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"নৈশ্য প্রহরী","Security Support Service","Mahim Construction and Development","Not specific","রাতের বেলা প্রতিষ্ঠানের যাবতীয় দিক খেয়াল রাখা।
সততার সাথে ডিউটি করা।
পরিচয়পত্র না দিয়ে অপরিচিত কাউকে যেতে দেবেন না, ভিজিটের তালিকা রাখুন।
গুন্ডামি প্রতিরোধ করুন।
ভাংচুর, মারামারি, অ্যালকোহল, মাদক, আক্রমনাত্মক অশ্লীল বিবৃতি রেকর্ড করা হলে সতর্কতা জারি করুন বা কর্তৃপক্ষকে রিপোর্ট করুন।
জরুরী কাজের সাইটে অ্যাক্সেস প্রদান করুন, মেরামতকারীদের কল করুন, কাজের অগ্রগতি নিরীক্ষণ করুন, সনাক্তকরণ পরীক্ষা করুন।","রাতের বেলা প্রতিষ্ঠানের যাবতীয় দিক খেয়াল রাখা।","Full-time","JSC","Age 22 to 40 years","মানিকগঞ্জ (মানিকগঞ্জ সদর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Office Assistant","Security Support Service","Xiamen XGMA Machinery Co. Ltd.","2","Xiamen XGMA Machinery Co., Ltd. (in short XGMA) China, is a well reputed construction & earth moving equipment and Forklift manufacturing company in China. Recently we are expanding our market in Bangladesh, our motto ""Together we build Bangladesh"". As a sole agent & distributor of the company we offer a challenging & promising post of Business Coordinator, for result oriented, self motivated and dynamic, as a part of our team.","Maintain documents and Reports.","Full-time","HSC","Age 25 to 30 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"কেয়ারটেকার (পুরুষ)","Security Support Service","Marie Stopes Bangladesh (MSB)","01","মেরী স্টোপস বাংলাদেশ বিগত ৩ দশকের বেশী সময় ধরে বাংলাদেশে স্বাস্থ্যসেবা প্রদানের মাধ্যমে মাতৃমৃত্যু এবং শিশুমৃত্যুর হার কমিয়ে আনার ক্ষেত্রে বিশেষ অবদান রেখেছে।  মেরী স্টোপস বাংলাদেশ যুক্তরাজ্যের লন্ডনভিত্তিক আন্তর্জাতিক স্বাস্থ্যসেবা প্রতিষ্ঠান যা ৪টি মহাদেশের (এশিয়া, আফ্রিকা, ইউরোপ এবং ল্যাটিন আমেরিকা) ৩৭টি দেশে সেবা প্রদান করে আসছে। মেরী স্টোপস বাংলাদেশ এর অধীনে উক্ত জেলায় অবস্থিত ক্লিনিকে উল্লেখিত পদের জন্য দক্ষ ও অভিজ্ঞ কর্মী আবশ্যক:
কর্মস্থল: মেরী স্টোপস ম্যার্টানিটি ক্লিনিক-  গাজীপুর","মেরী স্টোপস বাংলাদেশ বিগত ৩ দশকের বেশী সময় ধরে বাংলাদেশে স্বাস্থ্যসেবা প্রদানের মাধ্যমে মাতৃমৃত্যু এবং শিশুমৃত্যুর হার কমিয়ে আনার ক্ষেত্রে বিশেষ অবদান রেখেছে।  মেরী স্টোপস বাংলাদেশ যুক্তরাজ্যের লন্ডনভিত্তিক আন্তর্জাতিক স্বাস্থ্যসেবা প্রতিষ্ঠান যা ৪টি মহাদেশের (এশিয়া, আফ্রিকা, ইউরোপ এবং ল্যাটিন আমেরিকা) ৩৭টি দেশে সেবা প্রদান করে আসছে। মেরী স্টোপস বাংলাদেশ এর অধীনে উক্ত জেলায় অবস্থিত ক্লিনিকে উল্লেখিত পদের জন্য দক্ষ ও অভিজ্ঞ কর্মী আবশ্যক:","Full-time","প্রার্থীকে ন্যূনতম এসএসসি পাশ হতে হবে। অভিজ্ঞ প্রার্থীদের ক্ষেত্রে শিক্ষাগত যোগ্যতা শিথিলযোগ্য।","Only males are allowed to apply","গাজীপুর","১০,০০০ টাকা + অন্যান্য সুবিধা।""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"অফিস ক্লিনার","Security Support Service","Lazz Pharma Ltd.( Darus Salam Branch )","01","অফিসের কর্মীদের/ব্যবস্থাপনাকে যথাযথ সহায়তা করা।
চা, কফি, জল সরবরাহ এবং রক্ষণাবেক্ষণ করা।
প্রয়োজনে ফটোকপি, নথিপত্র প্রেরণ করা।
প্রতিদিন অফিস ডেস্ক, চেয়ার এবং অন্যান্য আসবাবপত্র পরিষ্কার করা।
অফিস পরিষ্কার পরিচ্ছন্নতা বজায় রাখা।
বাথরুম, ফ্লোর  যথাযথ ভাবে পরিষ্কার করা।
প্রয়োজনে অফিসিয়াল সামগ্রী কেনাকাটা করা।
ম্যানেজমেন্ট দ্বারা প্রদত্ত অন্যান্য কাজ করা।","অফিসের কর্মীদের/ব্যবস্থাপনাকে যথাযথ সহায়তা করা।","Full-time","অস্টম শ্রেণী","Age 18 to 30 years","ঢাকা (মিরপুর ১)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"রুম সার্ভিস বয়","Security Support Service","Merin Resort","Not specific","নিয়মিত রুম ও আসবাবপত্র পরিষ্কার করা
বিছানার ময়লা চাদর ও বালিশ বদলে দেয়া
টয়লেটে প্রয়োজনীয় সরঞ্জাম (যেমন, সাবান, তোয়ালে ও টয়লেট পেপার) সরবরাহ করা
রুম থেকে আবর্জনার বিন সংগ্রহ করে নির্ধারিত জায়গায় রেখে আসা
রুমের কোন ক্ষতি হলে সে সম্পর্কে কর্তৃপক্ষকে জানানো
হোটেলের ক্ষেত্রে অতিথিদের সাহায্য করা
পরিষ্কার করার সরঞ্জামের (যেমন, ভ্যাকুয়াম ক্লিনার) রক্ষণাবেক্ষণ করা","নিয়মিত রুম ও আসবাবপত্র পরিষ্কার করা","Full-time","SSC, HSC","Age 22 to 30 years","মানিকগঞ্জ (সিংগাইর)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Manager - Security & Fire Safety","Security Support Service","Dysin Group","01","Develop and execute a comprehensive security and fire safety strategy aligned with organizational goals and industry best practices. 
Oversee day-to-day security operations, CCTV surveillance, security patrols, and incident response. 
Ensure compliance with fire safety regulations, conducting regular inspections and coordinating necessary improvements. 
Identify potential security and fire risks, conduct risk assessments, and implement proactive measures to mitigate vulnerabilities. 
Develop and maintain emergency response plans, including evacuation procedures, crisis communication protocols, and first-aid training. 
Implement security and fire safety training programs for employees. 
Manage relationships with fire safety equipment suppliers, and other relevant vendors.
Lead investigations into security breaches, accidents, and incidents, and recommend corrective actions to prevent future occurrences. 
Develop and manage the security and fire safety budget, ensuring cost-effective allocation of resources. 
Supervise and mentor security personnel and fire safety staff, fostering a culture of professionalism and accountability. 
Develop and maintain security and fire safety policies, procedures, and guidelines, keeping them up-to-date with changing threats and regulations. 
Prepare and present regular reports to senior management on security and fire safety performance, incidents, and improvements.","Develop and execute a comprehensive security and fire safety strategy aligned with organizational goals and industry best practices.","Full-time","Bachelor's degree in a related field.","Age at least 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সিকিউরিটি ইনচার্জ","Security Support Service","R. TEL","Not specific","প্রতিষ্ঠান- আর টেল
শোরুমঃ আর টেল, আর টেল প্লাস, উইনসটেল, আর মিউজিক, আর গেজেট।
প্রতিষ্ঠানের ধরন- মোবাইল টাচ্, ডিসপ্লে, ব্যাকশেল, গ্লাস ব্লুটুথ সহ যাবতীয় মোবাইল এক্সেসরীজ ও গ্যাজেট আইটেম আমদানীকারক ও পাইকারী বিক্রেতা।","প্রতিষ্ঠান- আর টেল","Full-time","HSC","Age at least 26 years","ঢাকা (গুলিস্তান)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
