"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Senior Executive/Assistant Manager (Quality Control & Assurance)","Production Operation","Remark HB Limited","3","Develop Standard Operating Procedure (SOP) for quality assurance and ensure proper implementation of quality checks of flexible packaging products, containers, bottles.
Having good knowledge on metallization, UV printing, BE or Master in Plastic/Polymer Technology. 

Having Experience in Plastic related testing laboratory i.e. having good knowledge on Plastic testing equipment (Viscosity, MVR, Flexural, Impact etc.)

Work with the production team and assist them in achieving high levels of quality products as per standards
Conduct chemical tests and physical tests of raw materials and finished feeds on a regular basis 
Ensure the quality of the finished product constantly and compare with standard 
Handle and store laboratory equipment with safety and security 
Keep documentation of laboratory activities for reference purposes 
Check & test the quality of machines and chemicals
Anticipate problems/defects that may arise in the manufacturing process and take preparation accordingly 
Maintain quality control methodologies to carry out analysis","Develop Standard Operating Procedure (SOP) for quality assurance and ensure proper implementation of quality checks of flexible packaging products, containers, bottles.","Full-time","Master of Science (MSc) in Chemistry, Applied Chemistry, Chemical Engineering, Pharmacy","Age at least 28 years","Munshiganj (Gazaria)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Technical Operation Manager","Production Operation","Link3 Technologies Ltd.","1","Lead the Technical Operations departments & Oversee all the activities, initiatives, systems, and tactics.","","Full-time","Master of Business Administration (MBA)","Age at most 50 years","Dhaka (GULSHAN 1)","Tk. 300000 - 330000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Production Manager","Production Operation","East Coast Group","1","Production management as per lean manufacturing procedure.
Proficient with Team management and work flow analysis.
Maintain proper Hygiene and clean room practices.
Ensure smooth execution of production according to plan.
Optimize existing production system, reduce cost, increase production efficiency.
Generation of waste to be kept at minimum.
Manpower planning and ensuring the maximum utilization of resources.
Supervise Shift In-charge's responsibilities.
Calculate worker productivity and efficiency and determine and implement the improvements of the production process.
Provide and achieve time wise targets to field production.
Handover the finished goods to logistics as per requirement.
Manage maintenance and other utility supporting team.
Prepare different types of necessary reports.
Monitor the periodic machine maintenance.
Joint collaboration with QC and R&D dept. to maintain the product quality and new model development.","Production management as per lean manufacturing procedure.","Full-time","Minimum B.Sc in EEE/ IPE/ Renewable Energy from any reputed institute.","Age at least 30 years","Dhaka (Ashulia)","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager (Operations)","Production Operation","MJH initiatives Limited","1","Prepared Marketing strategy and Prepared year calendar
Planning and executing.
Digital marketing and Offline marketing 
Lead marketing team
Sales Strategy and  planning
Lead sales team
Excellent  digital platform communication knowledge.
Operating office administration management.
Communication with Top management to concern department. 
Collect and Distributing information to different concern department.
Maintaining database.
Daily activities monitoring of different employees.
Consult with students about our Programme's. 
Maintaining Admission process,
Team building with students and colleges. 
Class Operate. 
Phone call receiving and provide information.","Prepared Marketing strategy and Prepared year calendar","Full-time","Master of Business Administration (MBA)","Age 24 to 36 years","Dhaka (Uttara Sector 6)","Tk. 25000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Chemist","Production Operation","East Coast Group","1","Laboratory Management as per ISO/ IEC 17025.
Carry out all types of testing and prepare analytical report.
Development & integration of new equipment to monitor and check raw materials, packaging materials and finished good quality.","Laboratory Management as per ISO/ IEC 17025.","Full-time","Minimum B.Sc in Chemistry/ Applied Chemistry from reputed institution.","Age at least 29 years","Dhaka (Ashulia)","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Control Room Operator - Silo","Production Operation","City Group","Not specific","Operator automated silo system with distributed control system(DCS).
Monitor the pathway of raw-materials in the correct silo.
Manage the machine with maximum awareness level.
Ensure proper cleanliness and hygienic condition of the machines & silo.
Maintain shift handover register, log sheets and other records.
Prepare maintenance list in case of short-term/long-term shutdown.
Maintain all the parameters of storage according to the standards.","Operator automated silo system with distributed control system(DCS).","Full-time","HSC (Vocational), Diploma in Engineering","Age 25 to 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"সাবান তৈরির অটোমেটিক/ম্যানুয়াল মেশিন অপারেটর","Production Operation","Modern Herbal Group","05","লন্ড্রি সাবান, টয়লেট সাবান ও ডিটারজেন্ট তৈরির বাস্তব অভিজ্ঞতা থাকতে হবে।সাবান তৈরির অটোমেটিক মেশিন অপারেট করায় পারদর্শী হতে হবে।সাবান তৈরির কাঁচামাল সর্ম্পকে সম্যক ধারণা থাকতে হবে।সাবানের গুণগতমান রক্ষা করে প্যাকিং করার অভিজ্ঞতা থাকতে হবে।","লন্ড্রি সাবান, টয়লেট সাবান ও ডিটারজেন্ট তৈরির বাস্তব অভিজ্ঞতা থাকতে হবে।","Full-time","বাস্তব অভিজ্ঞতা থাকলে শিক্ষাগত যোগ্যতার প্রয়োজন নেই।","Age 20 to 40 years","ঢাকা (তেজগাঁও)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"QC Chemist (Quality Control Chemist)","Production Operation","P.T. Consumer Products Industries","Not specific","P.T. Consumer Products Ind. is looking to hire experienced and skilled professionals for the role of QC Chemist for their product production in Laxmipur.","Organize raw materials.","Full-time","Honors/ Masters in Chemistry/ Pure Chemistry/ Applied Chemistry from any reputed institution.","Age 25 to 40 years","Laksmipur","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Production Manager","Production Operation","Nilorn Bangladesh Ltd.","Not specific","To follow up on all production units. 
To follow up and improve productivity.
To follow up and monitor daily production reports. 
To check daily wastage report,
To check monthly raw material cost, individual section.
To check material inventory report.
To check delivery report monthly.
To check section-wise cost & profit monthly. 
To follow up on daily production target reports. 
To follow up on machine breakdown reports. 
To follow up on daily sample pending & delivery reports.
To follow up on R&D reports.
To follow up on production & machine efficiency reports.","To follow up on all production units.","Full-time","Graduation from  any discipline","Age 30 to 50 years","Manikganj (Singair)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"QC Manager","Production Operation","East Coast Group","1","Ensure the testing process pertaining to each module is done correctly and up to the standards and timely publish the results for process control purposes.
Explore & understanding of all the required parameters from all the stockholders and international certification body.
Conduct Training as per the requirements of quality and audit dept. on quality process and product safety standards. And how to improve the skills and knowledge.
Conduct Effective Pre-Production meetings with Production dept. & monitoring the production from the beginning to the shipment.
Conducting Quality inspections as inline, Pre-final & final inspection. & generate report accordingly.
Effectively interact with Technical, Development and Production team to maintain product quality; ensuring that targets are achieved.
Supervise sample evaluation and production approval by reviewing the Technical parameters and inline QC parameters. 
Design the rectification method by joint collaboration with R&D and Production department.
Monitored QA/QC performance by gathering relevant production data and producing statistical reports to be communicated with all related departments.
Identifying relevant quality-related training needs and conduct training.
Responsible for each aspect of quality control through production, incoming and outgoing material.
Ensuring all types of quality issue by Auditing & Controlling.
Follow up and maintain all quality related reports.","Ensure the testing process pertaining to each module is done correctly and up to the standards and timely publish the results for process control purposes.","Full-time","Minimum B.Sc in EEE from reputed institution.","Age at least 30 years","Dhaka (Ashulia)","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive/ Senior Executive - QC (Diaper Plant)","Production Operation","Meghna Group of Industries.","Not specific","Assure on-time release of material and products for smooth production (Fresh Happy Nappy Pant Diaper, Fresh Happy Nappy Baby Wipes & Fresh Anonna Sanitary Napkin) and dispatch with good quality.
Execute analytical work (measurements, GSM, thickness, raw material strength, elongation, etc.) of raw materials, packaging materials, and finished goods as per the standard testing procedure to ensure that the results are accurate and useful.
Maintain Good Laboratory Practices (GLP) guidelines and good housekeeping in the laboratory followed by 5S (Sort, Set in Order, Shine, Standardize and Sustain) rules.
Monitor every stage of manufacturing activities and reduce wastage or defect followed by Current Good Manufacturing Practice (cGMP) guidelines.
Understand customer needs and requirements for continuous quality improvement as a part of Total Quality Management (TQM).
Prepare and update all documents i.e., specifications, test methods, and standard operating procedures (SOPs) for different tasks and train the workforce accordingly.
Prepare different types of reports such as non-conformance of product reports or processes, daily production quality reports by using tools like Root Cause Analysis (RCA) and submit it to supervisor.","Assure on-time release of material and products for smooth production (Fresh Happy Nappy Pant Diaper, Fresh Happy Nappy Baby Wipes & Fresh Anonna Sanitary Napkin) and dispatch with good quality.","Full-time","M.Sc in Chemistry","Age at least 25 years","Narayanganj","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive - Production","Production Operation","Square Food & Beverage Ltd.","Not specific","Square Food & Beverage Ltd. is a leading, fast growing and ISO standard company in Bangladesh. We offer a challenging work environment, diverse job opportunities, and competitive salaries and benefits. To support its continuous growth, we are looking for a smart, energetic and hard-working team member for the above position.","Prepare production plan and execute complying with process parameter.","Full-time","","Age at most 32 years","Dinajpur","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Operation Manager (Ride Sharing& Courier)","Production Operation","Gorgeous Bangladesh Ltd.","2","The Operations Manager`s role is to supervise and ensure the operational efficiency in courier service. This includes managing both the resources and processes to identify, recommend, develop, implement, and support cost-effective solutions for all aspects of operations.
Financial responsibility for revenue growth, cost control, debt collection and overall responsibility for budgetary deliverables in courier operations
Ensuring service levels in terms of delivery and collection are met through monitoring of service levels returns
Ensuring proper resource utilization and rationalization including human resource and fleet","The Operations Manager`s role is to supervise and ensure the operational efficiency in courier service. This includes managing both the resources and processes to identify, recommend, develop, implement, and support cost-effective solutions for all aspects of operations.","Full-time","Masters degree in any discipline","Age 25 to 45 years","Anywhere in Bangladesh","Negotiable"
