"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Customer Care/ Call Centre","Customer Support Call Centre","Rokomari.com","20","Contract: 6 MonthWorking Hours: 6 hours/ 9hoursWorking Days: 6 Days a WeekShift: 9 am to 3 pm or 3 pm to 9 pm or 6pm or 12 am","Contract: 6 Month","Part-time, Contractual","HSC","Age 20 to 28 years","Dhaka (Motijheel)","Tk. 7500 - 8000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Customer Care Executive","Customer Support Call Centre","Royal Venture Limited","12","Duty Hour- 10:00pm to 5:00pm, (Work at Office)
Job Location: Middle Badda Link Road, Gulshan, Dhaka-1212.","Duty Hour- 10:00pm to 5:00pm, (Work at Office)","Full-time","HSC/Bachelor's degree running","Age 20 to 35 years","Dhaka (Badda, Gulshan)","Commission based.
Incentives As per company rules.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Telephone Sales and Appointment Setter","Customer Support Call Centre","Fastrack Filing Limited","1","We are a UK company and all our customers are English speakers. We require a highly motivated telephone sales executive and appointment setter to join us. All candidates must have excellent spoken English.","Making outgoing calls to our highly targeted sales leads with whom we have been in  previous contact.","Full-time","Bachelor degree in any discipline","Age at least 18 years","Anywhere in Bangladesh","Tk. 20000 - 25000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Customer Support Executive","Customer Support Call Centre","Fashion Hub Exclusive","03","Page admin must have ability to handling retail customer Physically, over call & by Facebook Inbox chat and he should have research capability of anything
Resident of Uttara, Dhaka will be given priority.
Permanent after 4 days training period.
Mentality to Must work for at least 1 year","Page admin must have ability to handling retail customer Physically, over call & by Facebook Inbox chat and he should have research capability of anything","Full-time","Bachelor degree in any discipline","Age 23 to 30 years","Dhaka (Uttara Sector 3)","Tk. 15000 - 18000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Public Relationship Executive","Customer Support Call Centre","Nabin Collection","Not specific","Only those who are willing to do the job will apply","Listen and understand the customers' complaints and provide suitable solutions to customers.","Full-time","SSC","Age at most 35 years","Dhaka, Dhaka (Gulistan)","Attractive Salary package""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Call Center Representative","Customer Support Call Centre","Klouder Limited","35","Urgent hiring Call Center Representatives
Excellent speaking and listening skills in English will be much appreciated.
Day Shift ( 7:00 AM to 4:00 PM )","Urgent hiring Call Center Representatives","Full-time","A Level, Bachelor degree in any discipline","Age 20 to 38 years","Anywhere in Bangladesh","Tk. 15000 - 30000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Telemarketing Specialist (OUTBOUND) - Night Shift","Customer Support Call Centre","TechSoldier BPO","10","We are ""TechSoldier BPO"" looking for Experienced Telemarketing cold calling Specialist (OUTBOUND) for USA Based campaigns, responsible for soliciting sales over the telephone, who must have to be Fluent in English, able to work at night shift and hungry to earn money.","You need to make outbound calls to the USA to sell our product & services.","Full-time, Contractual","Bachelor of Arts (BA), Bachelor of Business Studies (Pass)","Age 20 to 40 years","Dhaka (Mirpur 10)","Tk. 13000 - 25000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Customer Care Executive","Customer Support Call Centre","MARS Syndicate Limited","02","MARS Syndicate Ltd., founded in 1999, works as an Import, Sales & Marketing Oriented Company that understands the importance of Reliable Quality, Speedy Service & High Value to Customers and delivers Fresh & Latest Technologies timely to the marketplace at the best affordable price. The company is looking for potential Customer Care Executive for Business Development.","This is sales orientated job.","Full-time","Bachelor of Science (BSc) in B.Ag, Biotechnology, Pharmacy, Master of Business Administration (MBA) in in Marketing, Master of Science (MSc) in B.Ag, Biotechnology, Pharmacy","Age 22 to 34 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Scribe","Customer Support Call Centre","Augmedix","Not specific","We  are looking for dynamic, tech savvy and English fluent people who are passionate about helping others, to make our mission a success. If you want to be the part of this new era of healthcare, join us. The future of healthcare is driven by people -- and it starts with you!","Scribes will be at the forefront of a new healthcare revolution which will contribute massively to the Bangladesh BPO industry and help grow the industry rapidly by working with unique skill sets and cutting edge technologies. Here are the key job responsibilities of a medical documentation specialist as follows:","Full-time","Bachelor degree in any discipline","Age at least 18 years","Dhaka","Tk. 40000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Vice President & HOD ( Customer Service & Policy Service)","Customer Support Call Centre","Akij Takaful Life Insurance PLC","Not specific","We are looking for  Vice President & HOD ( Customer Service & Policy Service) of Akij Takaful Life Insurance PLC. a concern of Akij Venture Group, who must have worked experience in in Insurance  Industry. The position is responsible for ensuring extra ordinary customer experience at every touch point through developing and executing user friendly operational processes and responsible to analyze existing operations and drawing up improvement plans. He/ she must have the ability to identify issues and develop innovative solutions to experience the customers world class customer service.","Directs and oversees overall Customer Service (both Group and Retail Insurance), Retail Policy servicing, Call Center, Social Media (Website, LinkedIn and Facebook) and Creative operation.","Full-time","Bachelor degree in any discipline, Masters degree in any discipline","Age at least 32 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
