"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Relationship Officer (For Deposit Sales based at Chattogram)","Bank Non-Bank Fin. Institution","DBH Finance PLC","Not specific","The job involves to sell company's financial products mainly deposits through extensive physical visits to different professionals & high net worth customers and corporate offices/ institutions.","","Full-time","Candidates should be at least Bachelors in any discipline from any recognized university.","Age at most 35 years","Chattogram","Salary Package & Career Path: The selected candidates will be offered  attractive salary including sales commission and festival & incentive bonuses with rapid career growth.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Vice President & HOD ( Development Admin)","Bank Non-Bank Fin. Institution","Akij Takaful Life Insurance PLC","Not specific","We are looking for Vice President & HOD ( Development Admin) of Akij Takaful Life Insurance PLC. a concern of Akij Venture Group, who must have worked experience in in Insurance  Industry.","Oversee and monitor Dev. Admin Dept.","Full-time","Bachelor degree in any discipline, Masters degree in any discipline","Age at least 32 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of Claims & Re-insurance Department","Bank Non-Bank Fin. Institution","Express Insurance Limited","01","Express Insurance Limited, a reputed & fast-growing publicly listed General Insurance Company in the country is looking for dynamic & self-motivated candidates for the above position.","To look after the company's Claims related activities as an In-charge/ Head of the Claims and re-insurance department of the Company.","Full-time","Masters degree in any discipline","Age at least 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Executive - Trade","Bank Non-Bank Fin. Institution","Asia Securities Ltd.","Not specific","The position will be responsible for but not limited to the following - Performing trading as per the requests of clients.
Performing CDBL functions in terms of settlement of securities transactions and other necessary trading-related guidelines.
Acquiring new clients on board.
Coordinating required departmental activities pertaining to IT, CDBL, and Customer relationships as allocated to you from time to time by the Management of the company.
Ensuring full adherence to established rules and regulations of BSEC, DSE, BB and other regulatory authorities.
Performing any other tasks assigned by Management as and when required.","The position will be responsible for but not limited to the following - Performing trading as per the requests of clients.","Full-time","Graduation/Master Degree from any discipline.","Both males and females are allowed to apply","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"AVP/DVP, Claims & Re-Insurance Department","Bank Non-Bank Fin. Institution","Express Insurance Limited","01","Express Insurance Limited, a reputed & fast-growing publicly listed General Insurance Company in the country is looking for dynamic & self-motivated candidates for the above position.","To look after the company's claims & re-insurance-related activities.","Full-time","Masters degree in any discipline","Age at least 35 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Relationship Officer & Teller","Bank Non-Bank Fin. Institution","Dreams Cash Point(Dutch Bangla Bank Agent Banking)","Not specific","Dream`s Cash Point is a renowned Agent banking Of Dutch Bangla Bank.
Outlet branch,Agent Banking.
Candidates working area will be Mirpur area","Dream`s Cash Point is a renowned Agent banking Of Dutch Bangla Bank.","Full-time, Part-time","HSC","Age 18 to 32 years","Dhaka (Mirpur 1)","Salary fixed 10000""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Management Trainee","Bank Non-Bank Fin. Institution","Commercial Bank of Ceylon PLC","5","Commercial Bank of Ceylon PLC (CBC) is one of the fastest growing regional Banks amongst the Top 1000 Banks of the World for the twelve successive years (The Banker Magazine, UK). In 2020 the Bank has celebrated 100 years of its global existence. The Bank has been operating in Bangladesh for nearly 20 years.

With a view to lead the future expansions, drive forward the Bank`s position and further propel the fast growth and progress of the Bank towards the new height in the Industry, the Bank seeks to recruit the talented young and dynamic individuals who meet the necessary criteria as Management Trainees.","Commercial Bank of Ceylon PLC (CBC) is one of the fastest growing regional Banks amongst the Top 1000 Banks of the World for the twelve successive years (The Banker Magazine, UK). In 2020 the Bank has celebrated 100 years of its global existence. The Bank has been operating in Bangladesh for nearly 20 years.","Full-time","MBA or Basic Degree in any discipline preferably in Banking, Finance, Management, Economics, Mathematics, Statistics with post graduate qualifications from a recognized University (acceptable to the Bank)","Age at most 30 years","Anywhere in Bangladesh","During the period of 12 months Training as Management Trainee the candidates will be paid an all-inclusive Training Allowance of Tk. 60,000 per month.
On successful completion of the training, the trainees will be absorbed into the permanent cadre of the Bank as `Senior Executive Officer` at a starting Gross  Salary of Tk.80,000 per month along with the other admissible benefits as per the policy of the Bank""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Junior Officer/Officer (IT)","Bank Non-Bank Fin. Institution","Islami Insurance Bangladesh Limited","1","Non-Life insurance background will get preference.","The applicants should have practical knowledge in JAVA, Wordpress, Levaral , Java Script, HTML, Oracle Forms/Report and other reporting and coding tools","Full-time","Diploma/Bachelor of Science (BSc) in CSE","Age at least 22 years","Dhaka","NegotiableWill depends on experience""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of Claims & Re-Insurance","Bank Non-Bank Fin. Institution","Islami Insurance Bangladesh Limited","01","Must have Non-Life insurance background","Determines covered insurance losses by studding provisions of a policy or certificate.","Full-time","Post-Graduation","Age at least 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"AVP/VP (Underwriting)","Bank Non-Bank Fin. Institution","Islami Insurance Bangladesh Limited","1","Must have Non-Life insurance background","","Full-time","Masters/Bachelor's degree from reputed universities with a satisfactory academic track record.","Age at least 30 years","Dhaka","NegotiableStrong interpersonal skills to deal with management.
Dedicated, and hardworking with team spirit and a person of integrity and professionalism.
Strong leadership skills focusing operation management with excellent multidisciplinary knowledge.
Must have IT knowledge""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
