"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"In-house Lawyer- Documentation","Law Legal","Legum Consultants Ltd.","2","Vetting of land documents
Preparing different kinds of security documents including Deed of Mortgage, Deed of Power of Attorney, Letter of Hypothecation, Letter of Undertaking etc.
Providing Legal Opinion on different issues
Keeping liaison with Banks and corporate clients
Dealing with all sorts of company matters","Vetting of land documents","Full-time","Applicant must have at least LL.B.(Hons') and LL.M. degree from any recognized university.","Candidates with good writing and speaking skills in English will be preferred.","Dhaka","NegotiableNegotiable (will be decided considering his/her performance after joining)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Associate Advocate","Law Legal","Supreme Law Chambers","02","Advise and represent clients in criminal or civil proceedings and in other legal matters. Communicate with clients, colleagues and others involved in a case. Conduct research and analysis of legal issues.","Draft legal documents i.e  contracts, pleadings, agreements, legal notice and vetting different sorts of land related documents.","Full-time","Bachelor of Law (LLB), Master of Law (LLM)","Age at least 25 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Associate (Documentation)","Law Legal","BLACK AND WHITE LAW HOUSE","3","BLACK AND WHITE LAW HOUSE is one of the renowned law chambers of the country. It consists of both young law professionals and experienced experts. It is the first ever law house in Bangladesh aiming at facilitating all kinds of legal services from a single network while focusing on documentation and litigation of Civil, Commercial and Corporate issues and legal research. However, it also deals with arbitration, commercial dispute resolution, consultancy, business related counseling, problem solving through counseling or mediation or compromise. We maintain utmost sincerity, honesty and accountability with our clients and we expect thesame from our associates.","Preparing documentation, deeds/agreements, vetting land documents, legal opinions, and other legal documents.","Full-time","Master of Law (LLM)","Age 22 to 35 years","Dhaka (Elephant Road, Kakrail, Paltan)","Tk. 15000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Associate","Law Legal","MCLaw Services Ltd.","02","Have to deal with in-house and outdoor court activities (as per requirement)","Candidate must have enrollment in the Supreme/District Court of Bangladesh","Full-time","Master of Law (LLM)","Age 25 to 40 years","Dhaka (Banglamotor)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"ম্যানেজার, ল্যান্ড ডিপার্টমেন্ট","Law Legal","টোকিও ডেভেলপমেন্ট ইঞ্জিনিয়ার্স লিমিটেড","1","জমির মালিকদের খুজে বের করা এবং জমি নেওয়ার ক্ষেত্রে তাদেরকে উৎসাহীত করা।
কোম্পানির জন্য প্রাইম লোকেশনে ল্যান্ড গ্রহণ করার সক্ষমতা থাকা।
ল্যান্ড সার্চিং এর জন্য কৌশলগত ধারণা থাকা।
ল্যান্ড নেওয়ার ক্ষেত্রে ল্যান্ড রিলেটেড সব ধরণের কাগজপত্র/ দলিল সম্পর্কে ধারণা থাকা।
ল্যান্ড এর মেজারমেন্ট সম্পর্কে সম্পূর্ণ ধারণা থাকা। 
রাজউক এর প্লান ও নকশা লিগাল ইস্যুতে পূর্ণ ধারণা থাকা।
জয়েন্ট ভেঞ্চার এ ল্যান্ড নেওয়ার ক্ষেত্রে কোম্পানির পক্ষে এবং কোম্পানির অগ্রাধিকার স্বার্থ নিয়ে কাজ করা।","জমির মালিকদের খুজে বের করা এবং জমি নেওয়ার ক্ষেত্রে তাদেরকে উৎসাহীত করা।","Full-time","অনার্স /মাস্টার্স। (যে কোন বিষয়ে)","Age at least 35 years","বাংলাদেশের যেকোনো স্থানে","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager/ Sr. Manager - Legal Affairs & Estate","Law Legal","Dynamic Sun Energy Private Limited","Not specific","We are looking a dynamic and responsible ""Manager/Sr. Manager"" in Legal Affairs & Estate Department for our power plant project situated at Pabna.","Supervise legal affairs and estate department.","Full-time","Bachelor of Law (LLB), Master of Law (LLM) from any reputed university.","Age 35 to 40 years","Pabna, Pabna (Pabna Sadar)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Manager/ Deputy Manager - Legal","Law Legal","Walton Hi-Tech Industries PLC.","Not specific","Dealing with civil and criminal cases on the firm's behalf in any court, tribunal, police station, or other body for the advantage and interest of the companyResponsible for drafting and vetting of all type of Agreements, MOU, NDA, Sales and Purchase agreement.Evaluating & highlighting the potential legal risks associated with the organization's business operations and ensuring that such operations adhere to relevant laws and regulationsCoordinating with all departments to make certain that, in cases where legal hazards have been found, the proper steps are taken to eliminate or reduce these risksMaintaining Liaison with government authorities for legal mattersEnsure that contracts and proposals are properly entered into organizational databases and securely maintainedAny other tasks, duties or specific assignments which may arise as directed by the Head of The Department","Dealing with civil and criminal cases on the firm's behalf in any court, tribunal, police station, or other body for the advantage and interest of the company","Full-time","LLB (Hons) or LLM from any reputed university","Age 27 to 35 years","Dhaka (Basundhara RA)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive - Investigation","Law Legal","Walton Plaza.","2","We are seeking a highly skilled and experienced Executive - Investigation to join our team. As a key member of our organization, you will be responsible for investigating and preventing any type of corporate or white-collar crimes, fraudulent claims, and any irregularities that may impact the smooth operations of our company.","Investigate and prevent any type of corporate or white-collar crime within or against the company.","Full-time","BSc (Hons.) in Criminology & Police Science / BSS (Hons.) in Criminology","Age 24 to 30 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"LEGAL ADVISOR","Law Legal","AL MOJEEL GROUP","Not specific","Advises on legal issues related to the business's operations and commercial transactions.Provides legal support and advice on dispute management and resolution.To be responsible for overseeing legal matters and keeping the company out of legal trouble.Advises the business on related regulatory issues and compliance matters.provides legal guidance to businesses or clients.Maintaining the organization's legal files and ensuring that the working practices are in accordance with its policies and regulations.Providing correct, honest, and positive judgment at all times in the client's best interests","Advises on legal issues related to the business's operations and commercial transactions.","Full-time","Bachelor of Law (LLB), Master of Law (LLM)","Age 25 to 35 years","Dhaka","Tk. 30000 - 35000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Asst. Manager / Deputy Manager (Legal)","Law Legal","Green Land Town Development Ltd.","Not specific","For the position of Assistant Manager/Deputy Manager (Legal), Green Land Town Development Limited is looking for competent individuals.","Vetting (Deed, Bia Deeds, Khatianss, Drafting of Deeds, Documents registry at sub-registry office, Mutation procedure at AC Land office, Land development rent payment at Tahshil (Land) office, Miscellaneous case to the court.","Full-time","Bachelor of Law (LLB)","Age 27 to 50 years","Dhaka (Mohakhali)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Company Secretary","Law Legal","Golden Harvest Group","01","Responsible for secretarial function of Golden Harvest Group.Advise the board and management committees on all statutory and constitutional requirements to ensure that business is conducted in proper and effective manner.","Responsible for secretarial function of Golden Harvest Group.","Full-time","Masters degree in any discipline, Master of Law (LLM)","Age at least 30 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Lecturer/Assistant Professor ( Department of Law)","Law Legal","State University of Bangladesh (SUB)","Not specific","Teaching and Research.","","Full-time","Master of Law (LLM)","Age at least 26 years","Dhaka","As per University Rules.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Compliance and Legal Officer","Law Legal","Servier Bangladesh Operations","Not specific","To partner the businesses in maximizing compliance awareness and provide oversight to business.
To lead and drive Compliance programs and activities to ensure business practices and activities in compliance with internal guidelines, local laws, and regulations etc.
To be responsible for overseeing legal matters in Servier Bangladesh Operations and keeping company out of legal trouble.","To partner the businesses in maximizing compliance awareness and provide oversight to business.","Full-time","A Bachelor's/master's degree in law","3+ years of work experience in compliance with a multinational company or a reputed law firm","Anywhere in Bangladesh","Competitive compensation package and international exposure with regular international training and meeting participation""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Associate Advocate","Law Legal","Supreme Law Chambers","02","Advise and represent clients in criminal or civil proceedings and in other legal matters. Communicate with clients, colleagues and others involved in a case. Conduct research and analysis of legal issues.","Draft legal documents i.e  contracts, pleadings, agreements, legal notice and vetting different sorts of land related documents.","Full-time","Bachelor of Law (LLB), Master of Law (LLM)","Age at least 25 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"In-house Lawyer- Documentation","Law Legal","Legum Consultants Ltd.","2","Vetting of land documents
Preparing different kinds of security documents including Deed of Mortgage, Deed of Power of Attorney, Letter of Hypothecation, Letter of Undertaking etc.
Providing Legal Opinion on different issues
Keeping liaison with Banks and corporate clients
Dealing with all sorts of company matters","Vetting of land documents","Full-time","Applicant must have at least LL.B.(Hons') and LL.M. degree from any recognized university.","Candidates with good writing and speaking skills in English will be preferred.","Dhaka","NegotiableNegotiable (will be decided considering his/her performance after joining)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
