"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Designer - 3D","Design Creative","A 100% export oriented garment indsutry.","01","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.
Keeping up to date with emerging fashion trends and general trends relating to fabrics, colors, and silhouettes.
Planning and developing ranges within the time frame.
Creating trend tech packs and mood boards for own collection
Working with others in the team to develop products.
Understanding design from a technical perspective, i.e. producing patterns and technical specifications for designs
Sourcing, selecting, and buying fabrics, trims, fastenings and embellishments.
Negotiating with customers and suppliers
Any other responsibilities assigned by the management.
Must be proficient in CLO 3D","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.","Full-time","Bachelor of Science (BSc) in Fashion Design  Technology, Bachelor of Arts (BA)","Age 29 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Product Developer / Developer","Design Creative","A 100% export oriented garment industry.","02","Collaborate closely with the Product Development Manager to execute the entire product development process, ensuring timelines and quality standards are met under the Manager's guidance.
Work hand in hand with the design teams to bring innovative and marketable product concepts to life, aligning with customer needs and brand strategy.
Conduct thorough market research to identify emerging trends and consumer preferences, translating these insights into innovative and competitive product offerings.
Engage collaboratively with cross-functional teams, including design, sourcing, merchandising, and marketing, to ensure a unified product vision and successful execution.
Oversee critical tasks such as product testing, sample review, and quality assurance, ensuring products align with internal standards and regulatory requirements.
Assist in managing and mentoring a team of product developers, offering guidance and support to foster their professional growth and development.
Participate in competitive analysis and benchmarking activities to remain updated on industry trends and pinpoint opportunities for enhancement.
Establish and cultivate robust relationships with suppliers and vendors, guaranteeing adherence to quality standards and technical specifications.
Collaborate seamlessly with cross-functional teams to infuse sustainability principles into the product design and development process.
Contribute to impactful product presentations to key stakeholders.
Stay attuned to market trends, innovative advancements, and dynamic market dynamics that may influence product strategies.
Demonstrate ability to meet deadlines and adhere to timelines within budgetary constraints.","Collaborate closely with the Product Development Manager to execute the entire product development process, ensuring timelines and quality standards are met under the Manager's guidance.","Full-time","Bachelor of Science (BSc) in Fashion Design  Technology, Bachelor of Arts (BA)","Age 25 to 40 years","Gazipur (Sreepur)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"3D Animator","Design Creative","Candle Animation Studio","Not specific","Candle Animation Studios is a cartoon production startup in growth! We are an independent animation studio with world class animation studio equipment. In Candle, we produce animated cartoon series and movies for kids and children. We have a vision of introducing new technologies to the Bangladeshi media industry and interrupt the traditional work methods. Do you want to be a part of that? We seek some unpaid interns who can help us with it.
Our last batch of unpaid interns have Successfully joined Candle Animation Studios as a regular employee. So, we seek some more new unpaid interns to further increase our workforce.
Please don`t waste time. Apply Now. Be an intern, work hard and get your job as a professional animator.
If we believe you have a fitting profile for what we are looking for you will be called for a job interview.
We offer a 3 month long internship. After completion of internship, we will offer permanent position to the interns.","Candle Animation Studios is a cartoon production startup in growth! We are an independent animation studio with world class animation studio equipment. In Candle, we produce animated cartoon series and movies for kids and children. We have a vision of introducing new technologies to the Bangladeshi media industry and interrupt the traditional work methods. Do you want to be a part of that? We seek some unpaid interns who can help us with it.","Internship","Bachelor degree in any discipline","Age 18 to 40 years","Dhaka","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of Design & Product Development (DPD)","Design Creative","Fakir Fashion Ltd.(New Project)","1","Provide creative output and direction to ensure the overall vision for the product is achieved;
Lead, recruit, coach, and mentor a team of world-class product designers and user researchers;
Collaborate with members of cross-functional teams and be a champion for user-centered culture and design practices;
Create visually engaging, innovative and functional digital products;
Work closely with product managers, sample department, Merchandiser and QA and department to ensure a cohesive user experience across all products;
Organize teams that can provide design solutions effectively and with excellence across all departments;
Establish metrics and measurable goals to ensure a visibility into design's impact to business;
Identify improvement opportunities within the scope of design and other teams functioning holistically;
Build design culture that encourages innovation while balancing the need for optimization;
Communicate value of design thinking and a customer-first approach to strategy across all areas of the business","Provide creative output and direction to ensure the overall vision for the product is achieved;","Full-time","B.Sc in Fashion Design","Age 35 to 40 years","Narayanganj","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Graphic Designer","Design Creative","Somokalin Prokashon Limited","Not specific","At Somokalin Prokashon Limited, we are looking for a highly-skilled, dedicated `Graphic Designer` to be a part of our creative team.","Designing book covers and interiors.","Full-time","Bachelor degree in any discipline","Age at least 20 years","Dhaka (Banasree)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Executive, Design & Development","Design Creative","Wave Riders Limited (Turaag Active)","1","Research and analyze on trend and market intel.Prepare mood board, color palate and product range plan.Develop style and materials concept.Execute designs to make range to get approval.Provide sample query to product developer.Plan materials/fabric concept and provide query to product developer to sourcePlan trims & accessories, and provide to source. Sample execution follow-up, cooperate & report to team lead.Get sample range prepared before the set deadline.Follow up fit sample, conduct fit session with fit concern for feedbacks.Engage in product photo shoot to ensure quality, fit and product concept.Get lab-dip, trims, fabric & styling for approval and check with team lead.","Research and analyze on trend and market intel.","Full-time","Bachelor's degree in Fashion Design or a related field.","Age at least 25 years","Dhaka (Gulshan)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Fashion Designer","Design Creative","A Reputed Garments Industries","02","This position will be responsible for Product Designer.","Create detailed technical sketches, flat drawings, and specifications for prototypes and production.Collaborate with pattern makers and garment technologists to ensure design feasibility and fit accuracy.","Full-time","Bachelor of Science (BSc) in Textiles Engineering","Age at most 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"IT Officer - Video Editor","Design Creative","The DrAcademy","2","The Candidate have to know Adobe Premier pro, Adobe After Effect, Adobe Photoshop, Adobe illustrator, Motion Graphic Video, able to handle all kinds of other related task like operating Video Camera, strong analytical & problem solving ability, communicative capability with students & mentors regarding management purpose and any other job related task assigned by management.","Need to work with Adobe Premier Pro & Adobe After Effect","Full-time","Bachelor degree in any discipline, Diploma in Computer","Age 20 to 30 years","Dhaka (Green Road)","Tk. 15000 - 22000 (Monthly)Salary increment is based upon the performance of the employee.""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Fashion Designer / Fashion Designer","Design Creative","A 100% export oriented garment industry.","02","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.
Keeping up to date with emerging fashion trends as well as general trends relating to fabrics, colors and silhouettes.
Planning and developing ranges with the time frame.
Creating trend tech packs and mood boards for own collection
Working with others in the team to develop products.
Understanding design from a technical perspective, i.e. producing patterns and technical specifications for designs
Sourcing, selecting and buying fabrics, trims, fastenings and embellishments.
Negotiating with customers and suppliers
Any other responsibility assigned by the management.","Creating seasonal collections from Idea generation to TechPack making, material selection as per international market demand.","Full-time","Bachelor of Science (BSc) in Fashion Design  Technology, Bachelor of Arts (BA)","Age 25 to 40 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Jewelry CAD Designer","Design Creative","Stealth Startup","1","About Us:We are a custom jewelry startup based in the United States looking for a talented jewelry designer to create custom computer-aided designs and high-detail renderings for our expanding jewelry portfolio.Job Description:Proficient CAD Designer with a minimum of 2 years of professional experience using a CAD and/or jewelry design software. Strong communication skills and artistic ability required.","About Us:","Full-time","At least 2 year(s)","Age at least 18 years","Anywhere in Bangladesh","Tk. 16500 - 33000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
