"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sub Editor","Media Advertisement Event Mgt.","CHANNEL 24","Not specific","Review and edit articles, features, reports, and other content to ensure they meet editorial guidelines. 
	Verify the accuracy of information presented in the content, cross-referencing with reliable sources, and flagging any discrepancies or inaccuracies.
	Ensure that the content is written in a clear, concise, and engaging manner, adhering to the publication`s style guide and tone.","Review and edit articles, features, reports, and other content to ensure they meet editorial guidelines.","Full-time","Bachelor degree in any discipline","Age 26 to 37 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Video Producer","Media Advertisement Event Mgt.","WhatsOn","02","WhatsOn BD are looking for enthusiastic & talented Vedio producer for national & international print , digital & online media.
The successful applicant will join our expanding production team with further promotion prospect.","WhatsOn BD are looking for enthusiastic & talented Vedio producer for national & international print , digital & online media.","Full-time, Part-time","Bachelor degree in any discipline","Age 21 to 40 years","Dhaka, Dhaka (Uttara)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Video Content Creator","Media Advertisement Event Mgt.","Gazi International","Not specific","Gazi International is the brand of people of Bangladesh to improve quality of water supply and house hold lifestyle. Gazi is the brand of trust, reliability, and quality of product. For a long time Gazi Pumps and Motors is the market leader in ""water pump and motor"" and ""Gazi Home Appliance"" have prominent position in related sector in Bangladesh","Collaborate with our marketing team to craft persuasive written content that complements the visual storytelling of our products","Full-time","Bachelor degree in any discipline","Age at least 25 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager - Brand Communication (Bangladesh Office)","Media Advertisement Event Mgt.","Mount Elizabeth Hospital Singapore- Bangladesh Office","1","IHH Healthcare, is one of the leading providers of private healthcare services in Asia, looking for an experienced professional for Bangladesh Regional Office. The person will take care of the brand communication for Mount Elizabeth Hospitals Singapore Bangladesh Office.
This incumbent, directly reporting to the Country Manager, will be at the forefront of driving marketing efforts to promote the business across the country and thereby to leverage healthcare trends in Bangladesh. This position requires expertise in lead generation, campaign optimization, and budget planning which will be critical in ensuring the success of the company`s marketing initiatives. In addition, it would find the capacity of strategic thinking and data-driven approach which will be instrumental in achieving the company`s growth and revenue goals.","IHH Healthcare, is one of the leading providers of private healthcare services in Asia, looking for an experienced professional for Bangladesh Regional Office. The person will take care of the brand communication for Mount Elizabeth Hospitals Singapore Bangladesh Office.","Full-time","Bachelor of Business Administration (BBA)","Age at least 26 years","Dhaka (GULSHAN 2)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Digital Marketing Executive - Social Media Live Specialist (Female)","Media Advertisement Event Mgt.","Royal Pearl Serviced Apartment & Suites","Not specific","Hotel Royal Pearl Suites is seeking a passionate and creative Digital Marketing Executive with expertise in conducting engaging live sessions on social media platforms. As a Social Media Live Specialist, you will play a crucial role in showcasing our hotel, engaging with the audience, and promoting our brand effectively.","Social Media Live Events:","Full-time","Bachelor's degree in Marketing, Communications, or a related field is preferred.","Age at least 23 years","Cox's Bazar","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Associate News Editor","Media Advertisement Event Mgt.","Citizen Voice","01",".","","Full-time","At least 2 year(s)","Very good understanding of business issues, economic data and data visualization","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Cinematographer / Director of Photography (DP)","Media Advertisement Event Mgt.","METL","Not specific","Mojaru Education Technologies Limited is a leading Education Technology platform/company in Bangladesh. We are looking for young, dynamic and energetic Team Member as Cinematographer / Director of Photography (DP)","Excellent creative storytelling skills.","Full-time","Bachelor degree in any discipline","Age 18 to 35 years","Dhaka (PanthaPath)","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Facebook Live and Photoshoot","Media Advertisement Event Mgt.","Best Win","Not specific","We are hiring some smart and girls to sell products online
The condition is to go live on Facebook and do a product photo shoot.","We are hiring some smart and girls to sell products online","Full-time, Part-time","HSC","Age 22 to 44 years","Anywhere in Bangladesh","Negotiable10000-25000""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Behavior Change Communication (BCC) Presenter","Media Advertisement Event Mgt.","RDRS Bangladesh","Not specific","RDRS Bangladesh is going to implement Strengthening the Maternal and Neonatal Health System in Rangpur, Bangladesh Project in Rangpur and Lalmonirhat Disrict supported by Save The Children International (SCI).","Casual BCC Presenter for outreach screening is to organize community-based outreach audio-video shows to promote healthy behaviors on maternal, neonatal, health, family planning (FP), services and adoption of healthy behaviors and to conduct interactive sessions with the audiences to provide information on key health behaviors, services, and products.","Contractual","Masters degree in any discipline","Age at most 45 years","Lalmonirhat, Rangpur","Tk. 40000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Proof Reader","Media Advertisement Event Mgt.","CHANNEL 24","Not specific","Ensure text meets tone and character count outlined by company policies
	Make corrections and suggest edits to the document
	Meet proofreading deadlines
	Knowledge about MS Office, Social Media, Fast Bangla typing & Video is compulsory.","Ensure text meets tone and character count outlined by company policies","Full-time","Bachelor degree in any discipline","Age 25 to 37 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
