"jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of HR & Admin","General Management Admin","A Reputed TV Channel","Not specific","Excellent interpersonal, communication, and leadership skills, Demonstrated ability to manage and develop teams. Ability to think strategically and implement change, also have Strong analytical and problem-solving skills. A person working in a TV/Media business as a Head of HR position will be preferred.","Develop and implement HR policies and procedures that align with the organization's goals and objectives.","Full-time","Master of Business Administration (MBA)","Age 35 to 45 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Head of Admin & Security","General Management Admin","100% Export Orientent Knit Garments Industries","Not specific","Note: Retired armed forces Officers will be preferable. 
Global Supply Chain Security Program (C-TPAT) audit of foreign Buyer Knowledge & CC TV Surveillance are must in this position.","Note: Retired armed forces Officers will be preferable.","Full-time","Bachelor/Masters/MBA degree in any discipline.","Age 32 to 50 years","Narayanganj","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Assistant Manager/Deputy Manager - Environment, Health and Safety (EHS)","General Management Admin","GPH Ispat Ltd","Not specific","Coordinate and conduct Central HS Training Program for management, non-management and contractor personnel.Coordinate and conduct Gap Analysis, Risk Assessment and Develop Actions Plan and Follow up in accordance to the Company Standard and Advisory requirements.Assess, develop and distribute HS signage and posters for site and keep continuous liaison with different operation In-charges, Safety Professionals, Engineers & Contractors for bringing better visibility and awareness related to EHS Issues throughout the company.Participate in the internal audits according to develop internal audit schedule and follow up the recommended actions for proper and timely implementation.Prepare different Reports for this company on a weekly, monthly and quarterly basis and coordinate and follow up internal reporting from sites to maintain a smooth central reporting system.Ensure full compliance on reviewed standards Work at Heights (confirm no major WAH gaps exist at site), steel process hazards and energy isolation along with Safe electrical work practices.Establish HAZCOM by completing gap analysis and action implementation.Conduct site auditing for application of Reward and Discipline matrix.Extent SLDP model locations by developing new area ownership and full implementation and ensure sustainability of the current model locations as per guideline.Maintain the Database System for incidents and accidents and follow up the action status for proper completion for reducing the reoccurrence of the unwanted events and achieving the ""Company Zero Accident Targets"".Ensure routine and Non-routine visit to different operations to conduct HS inspections, investigations and act as a central support system in case of emergency crisis.Conduct Site Permit to Work auditing and find out improvement area on monthly basis to ensure the implementation of Reward and Disciplinary policy. Also help the area owners to complete the assigned tasks.Deliver Annual Health and Safety plan and monitor actions, obtain quarterly review of the plan approved by the Managing Director.Facilitate HS Committee meeting and keep minutes of the meeting and follow up of actions for close the CAP.To ensure EHS compliance as per law and standard.To ensure IMS standard and face internal and external IMS audit.Facilitate improvement in Job Safety Analysis (Risk Assessment) involving contractor workers in terms of Task observation, review of existing risk assessment, improve the work instructions and establish a standard document for job briefing for all routine and non-routine jobs.Maintain interface with the Fire Wardens, First Aiders and Security Focal Point, Emergency Evacuation (Office), Fire Drills, Security Drills, First Aid and Medevac.Encourage reporting Unsafe Acts and Unsafe Condition (UAC)Keep track of Unsafe Act and Condition reported by employees and contractor personnel, and keep record and follow up actions.Keep record of all safety alerts and follow up of actions.Review safety requirements for issuance of Permit to Work (PTW) for all safety critical activities.Environmental sustainability and compliance monitoring.","Coordinate and conduct Central HS Training Program for management, non-management and contractor personnel.","Full-time","Bachelor degree in any discipline","Age at least 28 years","Chattogram (Sitakunda)","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"প্রেস সুপারভাইজার","General Management Admin","Anonda Printing Press","Not specific","প্রেস মেশিনের যাবতীয় কাজের সমাধান ও হিসাব রাখা।প্রতিদিনের প্রিন্ট করা মালামালের হিসাব রাখা। লোড আনলোড কৃত সকল মালামালের হিসেব রাখা।","প্রেস মেশিনের যাবতীয় কাজের সমাধান ও হিসাব রাখা।","Full-time","HSC","Age 26 to 40 years","মানিকগঞ্জ (সিংগাইর)","Tk. 16000 - 18000 (Monthly)""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Officer (Admin & Procurement)","General Management Admin","Bangladesh Women Chamber of Commerce & Industry (BWCCI)","01","The Admin and Procurement Officer will manage and execute administrative and procurement activities associated with the project. Reporting directly to the Coordinator (Finance) and Chief Coordinator, He/she will have to:
Serve as key point of administrative contact and liaison with internal and external stakeholders,
Provide direct support to the project staff,
Conduct and administer the day-to-day activities of the project;
Facilitates logistics, resource management, procurement and administration procedures and documentation,
Maintain inventory of goods procured under the project;
Assist in database management;
Manage procurement related formalities as per the PPR, PPA and ADB's guideline
Perform miscellaneous job-related duties as assigned by the supervisor. She/he will also work on HR and administrative related tasks/ issues.","The Admin and Procurement Officer will manage and execute administrative and procurement activities associated with the project. Reporting directly to the Coordinator (Finance) and Chief Coordinator, He/she will have to:","Contractual","Master of Commerce (MCom)","Age 30 to 45 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Manager/Asst. General Manager (Operation & Maintenance) Transport, Sector-C","General Management Admin","Bashundhara Group","Not specific","If you`re looking for a role where you can continue to make an impression, take the next step at Bashundhara Group where your contributions will always be valued. We are currently seeking an ambitious individual to join this team in the role of Manager/Asst. General Manager (Operation & Maintenance) Transport for Bashundhara Group, Sector- C.","Prepare forecast plan for vehicles and related workforce requirements.","Full-time","B.Sc/Diploma in Automobile from any reputed Institution will get preference.","Age at least 30 years","Dhaka","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Workshop Incharge","General Management Admin","Intraco CNG Limited","2","We are looking for young and energetic workshop Incharge for our CNG Conversion workshop situated at Dhaka and Chittagong","Operation, monitor and overall Administrative work.","Full-time","B.Sc / Diploma in Automobile Engineering","Age 30 to 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Sr. Executive/ Asst. Manager - Admin","General Management Admin","Asgar Ali Hospital (A Concern of City Group)","Not specific","Maintaining relationships with Govt. officials, Departments, and different ministries I.e. Health, Home, Foreign, Labour, Environment, etc. 
Maintaining files and documents.
Manage and keep up-to-date the organizations' licenses i.e. Hospital, Environment, Trade, Fire, Drug, BIDA, Atomic Energy, BTRC, IRC, BSTI, Chamber of Commerce, etc. 
Manage and enhance the organizations' policies, procedures, approaches, and action programs complying with local laws in line with organizational objectives.
Keeping liaison with Govt. and Non-Govt. organization as needed by ensuring adherence to all safety protocols and regulations.
Vetting, documentation, drafting various deeds/ agreements, etc.
Proper documentation and file management.
Preparation and maintenance of regulatory submissions and files. 
Ensuring the effective implementation of a quality workflow in the regulatory function.","Maintaining relationships with Govt. officials, Departments, and different ministries I.e. Health, Home, Foreign, Labour, Environment, etc.","Full-time","Bachelor degree in any discipline, Masters degree in any discipline","Age 22 to 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"Maintenance Engineer","General Management Admin","LMT Transport","Not specific","LMT CO. is a leading construction company in Bangladesh, with a wide range of projects underway. We are looking for a highly skilled and experienced Heavy Equipment and Vehicle Maintenance Engineer to join our team.",".The successful candidate will be responsible for the following:","Full-time","Bachelor degree in any discipline","Age at least 18 years","Chattogram","""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
"General Manager","General Management Admin","Urban Feed Ltd","1","Dynamic, passionate and high energy to lead and motivate team.
Commitment to working with shared leadership and in cross-functional teams.
Ability to deliver effective product guidelines for multiple projects at a time.
Experience in overseeing Marketing will be added advantage.
Excellent negotiating and analytical Skills.
Should have sound knowledge on MS Application.
Should have positive mentality to work outside Dhaka.","Dynamic, passionate and high energy to lead and motivate team.","Full-time","Bachelor degree in any discipline, Masters degree in any discipline","Age at least 35 years","Anywhere in Bangladesh","Negotiable""jobTitle","category","companyName","vacancy","jobContext","jobDescription","employmentStatus","educationalReq","additionalReq","jobLocation","salary"
